000000000837,Bartholomeus van Hogenacker*
000000001239,Bartholomeus van Rosendael
000000000561,Bartholomeus van der Bildt
000000001012,Belytje Willems
000000000221,Benjamin Allen
000000000032,Benjamin de Wannemaecker
000000001074,Berbertje Copes
000000000674,Betheram Corts
000000001066,Bonaventura Elsevier
000000000458,Bonaventura Elzevier
000000000694,Boonaart
000000000695,Borgen
000000000158,Boudewijn Boudewijnsz van der Aa
000000000167,Boudewijn Jansz van der Aa
000000000159,Boudewijn Pietersz van der Aa
000000000484,C Baudin
000000000338,C. van der Post L
000000000947,Carel Fransz
000000000831,Carel Fransz K
000000001081,Carel Gerstecooren
000000000730,Carel Godfried Herzel/Mensel?
000000000973,Carel Godfried Mensel
000000000265,Carel Pietersz Arnoel
000000001137,Caspar van Leeuwen
000000000521,Casper Bercau
000000000147,Catalijne Ghysbrechts van Nas
000000000043,Catelijntje Roelants
000000000004,Cathalyntje van Sonhoven
000000001014,Catharina Adriaens
000000000203,Catharina Aelbrechts Berchey
000000000379,Catharina Cornelis van Hout
000000001147,Catharina Cruyswegh
000000000031,Catharina Dircx van Vrancke
000000000841,Catharina Groenendael
000000000530,Catharina Jans
000000000391,Catharina Jans Valckeniers
000000000230,Catharina Knippingh
000000000445,Catharina Le Borgne
000000000178,Catharina Oesinger
000000000383,Catharina Valckeniers
000000000842,Catharina de Vos
000000000021,Catharina le Bor
000000000027,Catharina le Borgne
000000001188,Catharina van Eyl
000000000493,Catharina van Lensen
000000001046,Catharina van Waesberge
000000000308,Cathelyne Rademaeckers
000000001171,Chaerl Verhouffstraeten
000000000302,Charel
000000000472,Chr. Lapoorte
000000000830,Christ. Calaminus* K
000000000644,Christiaan Onderwater
000000000594,Christiaan Stokman
000000000183,Christiaan Valentijn Albrecht
000000001151,Christiaan van Rijp
000000000628,Christiaen Jacobsz van der Boot
000000001173,Christiaen Vermey
000000001100,Christian Urall
000000000274,Christianus Calaminus
000000000986,Christina Hofman
000000000434,Christoffel Jansz Bailliu
000000000468,Cijken Platijn
000000000636,Claas van der Gaag
000000000276,Claertje Goris Berby
000000000342,Claes Claess
000000000347,Claes Claesz
000000000553,Claes Claesz Biestkens
000000000758,Claes Claesz*
000000000704,Claes Jansz Bors
000000000813,Claes Lens
000000000215,Claes Pietersz van Hoeck
000000000471,Claes Sier
000000000874,Claes de Bruckere
000000000520,Claesje Jans van Dorp
000000000953,Claude Frison
000000000734,Claudius Bourgeat
000000000369,Clouck (familie
000000000124,Coenraad Wishoff
000000000111,Coenraad jr Wishoff
000000000110,Coenraad sr Wishoff
000000000381,Commelin (familie
000000000288,Cornelia Antoni van Kleef
000000001104,Cornelia Caan
000000000781,Cornelia Huyberts van Huchtenburch
000000001257,Cornelia Jacobs van Duyne
000000000332,Cornelia Lievens
000000000780,Cornelia Pieters
000000000823,Cornelia Pieters van Palesteijn
000000001109,Cornelia Stempel
000000000012,Cornelia Verhagen
000000000069,Cornelis
000000000736,Cornelis Arentsz Boutesteyn
000000000442,Cornelis Balji
000000000798,Cornelis Basijn
000000000145,Cornelis Bilderbeecq
000000000640,Cornelis Bleskens
000000000587,Cornelis Boissens
000000000735,Cornelis Boutesteyn
000000000845,Cornelis Christiaensz Brandt
000000000400,Cornelis Cornelisz
000000000367,Cornelis Cornelisz Clock
000000000848,Cornelis Corsz Brant
000000001157,Cornelis Dirckz van Schelt
000000000256,Cornelis Hogeveen
000000001059,Cornelis Horatius Wyngarden
000000000988,Cornelis Jansz Orlers
000000000906,Cornelis Jansz van Buyten
000000001060,Cornelis Justus Wyngarden
000000000729,Cornelis Mulder L
000000001025,Cornelis Noest
000000001029,Cornelis Noodt
000000000955,Cornelis Oliphiers
000000000958,Cornelis Onderwater
000000000611,Cornelis Picaar
000000000152,Cornelis Pietersz te Woerden
000000000444,Cornelis Pietersz van Banheyning
000000001026,Cornelis Pietersz van Noorde
000000000653,Cornelis Schryver
000000001166,Cornelis Verhoef
000000000966,Cornelis Willem Goddaeus
000000000796,Cornelis de Does
000000000645,Cornelis van Damme
000000000974,Cornelis van Hoogeveen
000000000173,Cornelis van der Aa
000000000894,Cunera
000000000144,Cunera Aerts
000000000589,Daniel Bols
000000000654,Daniel Brokkaar
000000000885,Daniel Burchoorn
000000001070,Daniel Elsevier
000000001246,Daniel Goedval
000000001030,Daniel Jansz de Noot
000000000794,Daniel Kruysting
000000000648,Daniel Rijk
000000001082,Daniel Steucker
000000000092,Daniel Vijgh
000000000778,Daniel Willemsz van der Boxe
000000000667,Daniel de Rijk
000000000518,Daniel du Saar
000000000024,Daniel van den Dalen
000000000807,Daniel van der Boxe
000000001106,Daniel van der Vecht
000000000866,David Brock
000000000116,David Mortier
000000000033,David Wardenaar
000000000355,David le Clair
000000001122,David van Veen
000000000777,Denijs Bouwman
000000000767,Denys Bouman
000000000759,Denys Bouwman
000000000449,Deonys De la Soubs
000000000761,Dieuwertje van der Boxe
000000000788,Diewertje van der Boxe
000000000775,Dirck Bornaviel
000000001281,Dirck Gerritsz van Vreeswijck
000000001286,Dirck Jansz Vries
000000000598,Dirck Mathijsz van Bom
000000000979,Dirck Oosterlingh
000000000041,Dirck Pietersz Waterloo
000000001028,Dirck Pietersz van Noort
000000000872,Dirck Sybrantsz Brouckhuysen
000000001099,Dirck Uittenbrouck
000000000154,Dirck Wolders
000000000185,Dirk Aangeenbrugge
000000000017,Dirk Abrahamsz Karreman
000000000684,Dirk Borneviel
000000000679,Dirk Brouwer
000000000954,Dirk Frousse
000000000255,Dirk Haak
000000000088,Dirk Strikker
000000001222,Dirk Visser
000000000133,Dirk van Meenen
000000000996,Ditmer van Outstede
000000000619,Dominicus Bonaert
000000000286,Doroth Tyebault
000000000617,Dorothea Cornelis
000000000105,Eduwaert Winsloo
000000000501,Eduward Dey
000000000330,Elias Luzac
000000000891,Elias de Coester
000000000054,Elisabeth Antonia Cocq
000000000106,Elisabeth Berkar
000000000246,Elisabeth Bols
000000000022,Elisabeth Braeckenburgh
000000000009,Elisabeth Cruysius
000000001037,Elisabeth Elsevier
000000001095,Elisabeth Jans de Smeth
000000000851,Elisabeth Jurriaens van Edam
000000001264,Elisabeth Vorster
000000000357,Elisabeth la Clair
000000000919,Elisabeth van Dorp
000000000869,Elisabeth van Kempen
000000001175,Elisabeth van Ulden
000000000380,Elizabeth Bartholomees Cloot
000000000356,Elsje Bouman
000000001155,Elsje Gillis Barmentlo
000000000291,Elsje Harrebrants
000000000186,Elsje Leedeboer
000000000548,Elysabeth Willems van Royen
000000001150,Emanuel Lacivet
000000001146,Emma van Schoonhoven
000000000827,Esaias du Val
000000000928,Etienne Luzac
000000000625,Etme Camusat K
000000000224,Eva van Alphen
000000000211,Ewout Evert Samuelsz van Aerschot
000000001129,Ezechiel van den Velden
000000000711,Felix Lopez
000000000296,Felix Lopez de Haro
000000000313,Felix de Klopper
000000001182,Femke Wessels Kluppel
000000000917,Ferdinand le Febvre
000000000118,Fr. Slingerland
000000001042,Franchina Hendriks
000000000987,Francina Franchimon
000000001065,Francina Hendriks
000000000279,Francina Woodward
000000001123,Francina de la Maet
000000000136,Franciscus Frans Lambrechtsz Wisman
000000001128,Franciscus van de Velde
000000000269,Franco Aubertijn
000000000771,Francois Wallencourt
000000000939,Francoys Formie
000000000243,Frans Andriesz
000000000474,Frans Bastijn
000000000949,Frans Fransz
000000000239,Frans Heeneman
000000000292,Frans Moeyaart
000000000314,Frans Ploeg
000000001229,Frans de Does
000000000577,Frans en Pieter Blommendael
000000000571,Frans van Bleyswyck
000000001032,François Nortier
000000001290,François Vrouwaard
000000000402,Frederick Cornelisz
000000000119,Frederick Slijk
000000000057,Frederick Wevel
000000000915,Frederik Haaring
000000001237,Frederik Jansz. Haring
000000000951,Freekbuur
000000000343,Gabriel Claes
000000001131,Geertje Qualijns
000000000149,Geertrui Simons van Schagen
000000000991,Geertruid Andries Cloeting
000000000364,Geertruid Johannes Proppens
000000000046,Geertruida Johanna van Weezel
000000000524,Geertruij Houweling
000000000354,Geertruit Michiels
000000000403,Geertruyt Simons
000000000393,Geertruyt de Praem
000000000219,Geesje Petrus Hoffmann
000000000500,Geleyn de Beunghe
000000000123,George Jacob Wishoff
000000000763,Georgius Bouwman
000000000920,Georgius Figurus
000000000073,Georgius Wilbrots
000000000450,Gerard Bardeloos
000000000103,Gerard Wingendorp
000000001241,Gerbrand de Wit
000000000319,Gerret Emmers
000000000262,Gerrit Arentsz
000000000492,Gerrit Bazijk
000000000770,Gerrit Emmers
000000000480,Gerrit Jacobsz Kop
000000000446,Gerrit Jacobz Kop
000000000197,Gerrit Korsse
000000000980,Gerrit Oosterlingh
000000000902,Gerrit de Bus
000000001184,Gerrit te Taer
000000000433,Gerritje Laurens van Scharpenseel
000000000535,Gheleyn Beunghe
000000000632,Gijsbert Boot
000000000310,Gijsbert van Cijserwaert
000000000817,Gijsbert van der Vaart
000000000141,Gijsbrecht de Wit
000000000620,Gijsje van der Waert
000000001035,Gilles Nutin
000000000218,Gillis Alenson
000000000419,Gillis Allenzon
000000001163,Gillis Claesz Verhal
000000001149,Gillis Corsz Cruyshoeck
000000001040,Gillis Elsevier
000000001240,Gillis Kruyshoeck
000000000960,Goedaert Onderwijs
000000001168,Golia Vermey
000000000462,Govert Basson
000000000760,Gregorius Bouwman
000000000552,Grietje Allerts de Haes
000000000840,Grietje Blokland
000000000439,Grietje Jaspers Eelhout in de Schoolsteeg
000000000514,Grietje Pieters
000000001283,Grietje van Ixsum
000000000047,Guillaume van de Weege
000000000418,Hackius
000000000904,Haesje Velthoven
000000000157,Hans Woutersz
000000000222,Harman Allerts
000000000051,Harman Lucasz van Westerhuysen
000000000104,Harmanus van Wingendorp
000000000889,Harmanus van der Velden
000000000375,Harmen Lucasz van Westerhuysen
000000000717,Hasebroek
000000000922,Heijndrick Florisz
000000000910,Helena Cockburn
000000000082,Helena Nasvelt
000000000487,Helena Six
000000000716,Helena van Alphen
000000000371,Hendrick Andriesz Clouck
000000000461,Hendrick Bary
000000000363,Hendrick Clerck
000000000151,Hendrick Cornelisz van Woerden
000000000507,Hendrick Harmensz Beckbergen
000000000376,Hendrick Hendricksz Clouck
000000000115,Hendrick Heyligert
000000000085,Hendrick Liler
000000000162,Hendrick Mulhovius
000000000741,Hendrick Teering
000000001154,Hendrick Verbiest
000000000399,Hendrick van Cosen
000000000612,Hendrick van Damme
000000000750,Hendrick van Ieper
000000000006,Hendriette Pickert van der Heyde
000000000083,Hendrik Adrichem
000000000581,Hendrik Bodoverden
000000000494,Hendrik Boudewijns
000000000932,Hendrik Drummond
000000000800,Hendrik Ernst
000000001198,Hendrik Kruysteen
000000000970,Hendrik Mendel
000000000985,Hendrik Opperkamp
000000000720,Hendrik Trap
000000001248,Hendrik de Swart
000000001256,Hendrik de Vogel
000000000188,Hendrik van Abkoude
000000000420,Hendrik van Beeckbergen
000000000901,Hendrik van Buren
000000000034,Hendrik van Damme
000000000397,Hendrik van Geenen
000000000546,Hendrik van Jever
000000000962,Hendrina Clasina Bekker
000000000410,Henricus Critel
000000000860,Henrietta van Lith
000000000676,Herman Lodewijk van der Steenweg
